Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret
10-12-2015,26.14415741,48.18043518,172.9781036,0.004745881,0.005260517,0.00257806
11-12-2015,25.47125244,47.12565231,169.6255341,-0.026075279,-0.022135542,-0.019571751
14-12-2015,25.31371117,48.06710815,170.4825439,-0.006204269,0.019780633,0.005039643
15-12-2015,24.86586189,48.11942291,172.2722626,-0.017850338,0.001087777,0.010443238
16-12-2015,25.05714798,48.93013382,174.7929382,0.007663281,0.016707542,0.014525916
17-12-2015,24.52603531,48.55529785,172.1294403,-0.021423916,-0.00769013,-0.015355309
18-12-2015,23.86214066,47.18665695,169.062912,-0.027442089,-0.028592149,-0.017975848
21-12-2015,24.15470314,47.79688644,170.457489,0.012185978,0.012849339,0.008215028
22-12-2015,24.13220215,48.25017548,172.004303,-0.000931971,0.009438965,0.00903356
23-12-2015,24.4427681,48.65988159,174.1342773,0.012787252,0.008455439,0.012307216
24-12-2015,24.31224442,48.5291214,173.8469696,-0.00535428,-0.002690845,-0.001651283
28-12-2015,24.03992844,48.77321243,173.4496918,-0.011263976,0.005017178,-0.002287831
29-12-2015,24.47202682,49.29624176,175.300766,0.01781457,0.01066661,0.010615565
30-12-2015,24.15245438,49.08703613,174.0582428,-0.013144697,-0.004252876,-0.00711319
31-12-2015,23.68884659,48.36350632,172.3170471,-0.019381676,-0.014849442,-0.010053895
04-01-2016,23.70910645,47.77072144,169.9081879,0.000854883,-0.012332598,-0.014077857
05-01-2016,23.11497688,47.98865128,170.1955414,-0.025378456,0.004551622,0.0016898
06-01-2016,22.66261673,47.11692429,168.0486755,-0.01976403,-0.018332288,-0.012694347
07-01-2016,21.70615196,45.47806549,164.0169067,-0.043121006,-0.035402131,-0.02428416
08-01-2016,21.82092857,45.61756134,162.2165222,0.005273815,0.003062627,-0.011037513
11-01-2016,22.17425728,45.59141159,162.3771515,0.016062499,-0.000573403,0.000989725
12-01-2016,22.49608612,46.0098381,163.6872559,0.01440931,0.009135889,0.008035906
13-01-2016,21.91769409,45.01605988,159.6048126,-0.026047084,-0.021835933,-0.025256792
14-01-2016,22.39704895,46.29750824,162.2250061,0.021634947,0.02806883,0.016283459
15-01-2016,21.85918427,44.44943237,158.74263,-0.024308041,-0.04073595,-0.021700087
19-01-2016,21.75341415,44.07460785,158.953949,-0.004850448,-0.008468361,0.00133032
20-01-2016,21.78266907,44.27510071,156.9169769,0.001343939,0.004538627,-0.012897675
21-01-2016,21.6723938,44.00486374,157.7959747,-0.005075381,-0.006122291,0.005586043
22-01-2016,22.82464409,45.58269119,161.0332184,0.051801558,0.035227898,0.02030777
25-01-2016,22.37906075,45.14681244,158.5989532,-0.0197151,-0.009608387,-0.01523196
26-01-2016,22.50283051,45.47806549,160.7627716,0.005515368,0.007310455,0.013551101
