Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret,roll_mean_aapl,roll_mean_msft,roll_mean_spy,roll_var_aapl,roll_var_msft,roll_var_spy,corr_aapl_msft,corr_aapl_spy,corr_msft_spy
02-05-2018,41.44285202,86.02442169,232.5874939,0.043227047,-0.015808551,-0.006740271,0.002258786,0.001975542,0.000441696,0.000372122,0.000274953,8.70E-05,0.3275776,0.501132972,0.87809959
03-05-2018,41.51795959,86.53958893,232.0748901,0.001810676,0.005970756,-0.00220635,0.001443021,0.000889054,-0.000170143,0.000357518,0.000238569,8.18E-05,0.278710326,0.474930158,0.865766483
04-05-2018,43.14685822,87.54234314,235.079483,0.038483509,0.011520613,0.012863561,0.002946509,0.001411891,6.81E-05,0.00042225,0.000243927,8.70E-05,0.312702705,0.536246337,0.877798088
07-05-2018,43.45901489,88.51748657,235.8747711,0.007208703,0.011077523,0.003377351,0.004523659,0.003060725,0.001302137,0.000378907,0.000214594,6.04E-05,0.223290297,0.454950471,0.870690531
08-05-2018,43.66790771,88.14028168,235.8747711,0.004795147,-0.004270466,0,0.004282019,0.00257325,0.001068011,0.00037742,0.00021661,5.98E-05,0.219189148,0.451280959,0.869682151
09-05-2018,43.97538376,89.17984009,238.1547394,0.007016562,0.011725351,0.009619595,0.003728403,0.002037333,0.00077489,0.000367161,0.000199675,5.25E-05,0.180818673,0.419244998,0.856367442
10-05-2018,44.60440445,90.07218933,240.3816223,0.014202591,0.009956446,0.009307125,0.004627871,0.003037277,0.001468393,0.000368257,0.000193207,5.39E-05,0.174923734,0.422533815,0.847192293
11-05-2018,44.43477249,89.87898254,241.115097,-0.003810282,-0.002147325,0.003046647,0.003979273,0.002051646,0.001223302,0.000370032,0.000181498,5.17E-05,0.170383657,0.411773005,0.831791558
14-05-2018,44.33109665,90.18258667,241.22995,-0.00233594,0.003372229,0.000476228,0.003706976,0.002467341,0.001385842,0.000371931,0.000178659,5.08E-05,0.169278723,0.415355921,0.828043227
15-05-2018,43.92819214,89.52941132,239.5685272,-0.009130083,-0.007269167,-0.006911126,0.002976065,0.001566801,0.000666837,0.000379294,0.000178338,5.14E-05,0.184718515,0.437030444,0.826544247
16-05-2018,44.33815765,89.76042175,240.576004,0.009289349,0.002576951,0.004196563,0.002767464,0.000738306,0.000359941,0.000375523,0.000160725,4.69E-05,0.156045582,0.427286342,0.804271257
17-05-2018,44.05776978,88.86420441,240.3727875,-0.006343931,-0.010034729,-0.000845065,0.002572352,7.74E-05,0.000284445,0.000378377,0.000165587,4.70E-05,0.175333877,0.430119513,0.797970218
18-05-2018,43.89754868,89.03049469,239.7719116,-0.003643243,0.001869537,-0.002502896,0.003767884,0.000329653,0.000430159,0.000329755,0.000165066,4.56E-05,0.160839149,0.398393545,0.795776068
21-05-2018,44.20857239,90.17617035,241.574585,0.007060236,0.012786257,0.007490163,0.006096244,0.001491687,0.00119236,0.000220622,0.000164271,4.35E-05,0.049877252,0.283440182,0.794701495
22-05-2018,44.09782791,90.08377075,240.9030151,-0.002508188,-0.001025182,-0.00278384,0.006114935,0.00126776,0.001066911,0.000220276,0.000164297,4.42E-05,0.060795687,0.292703594,0.795714654
23-05-2018,44.38056946,91.1555481,241.5657654,0.006391221,0.011827344,0.002747331,0.007086746,0.002957878,0.001843405,0.000199024,0.00013579,3.30E-05,-0.091914154,0.165198283,0.733112365
24-05-2018,44.33109665,90.83216095,241.0708923,-0.001115362,-0.003553949,-0.002050707,0.006826596,0.003204678,0.001628214,0.000201942,0.000131008,3.37E-05,-0.085911562,0.181995536,0.76411087
25-05-2018,44.43240738,90.87837982,240.4964752,0.002282712,0.000508709,-0.002385616,0.006769721,0.002233461,0.001032971,0.00020241,0.000114717,3.05E-05,-0.068611208,0.220205184,0.729864621
