"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
193.009994506836,193.410003662109,189.820007324219,192.110000610352,187941300,162.377151489258
193.820007324219,194.550003051758,191.139999389648,193.660003662109,172330500,163.687255859375
194.449996948242,194.860000610352,188.380004882812,188.830001831055,221168900,159.60481262207
189.550003051758,193.259994506836,187.660003662109,191.929992675781,240795600,162.225006103516
186.770004272461,188.759994506836,185.520004272461,187.809997558594,324846400,158.742630004883
189.960006713867,190.110000610352,186.199996948242,188.059997558594,195244400,158.953948974609
185.029998779297,187.5,181.020004272461,185.649993896484,286547800,156.916976928711
186.210006713867,188.869995117188,184.639999389648,186.690002441406,195772900,157.795974731445
189.779998779297,190.759994506836,188.880004882812,190.520004272461,168319600,161.033218383789
189.919998168945,190.149993896484,187.410003662109,187.639999389648,130371700,158.59895324707
188.419998168945,190.529998779297,188.020004272461,190.199996948242,141036800,160.762771606445
189.580001831055,191.559997558594,187.059997558594,188.130004882812,185681700,159.013153076172
189.960006713867,190.199996948242,187.160003662109,189.110000610352,143798800,159.84147644043
190.020004272461,193.880004882812,189.880004882812,193.720001220703,210529300,163.737976074219
192.529998779297,194.580001831055,191.839996337891,193.649993896484,136061600,163.678833007812
191.960006713867,191.970001220703,189.539993286133,190.160003662109,182564900,160.728958129883
191.410003662109,191.779998779297,187.100006103516,191.300003051758,205054900,161.69255065918
190.710006713867,192.75,189.960006713867,191.600006103516,139531800,161.946060180664
190.990005493164,191.669998168945,187.199996948242,187.949996948242,180788300,158.860977172852
185.770004272461,186.119995117188,182.800003051758,185.419998168945,191526700,156.722564697266
183.360000610352,186.940002441406,183.199996948242,185.429992675781,184513100,156.730972290039
186.410003662109,188.339996337891,185.119995117188,185.270004272461,148214100,156.595794677734
182.339996337891,184.100006103516,181.089996337891,182.860000610352,219058900,154.558776855469
184.960006713867,186.649993896484,183.960006713867,186.630004882812,127632400,157.745300292969
188.770004272461,189.809997558594,187.630004882812,189.779998779297,120250700,160.407730102539
191.160003662109,193.320007324219,191.009994506836,192.880004882812,136009500,163.027969360352
193.199996948242,193.270004272461,191.720001220703,192.089996337891,102343000,162.360260009766
191.169998168945,192.179992675781,190.449996948242,192,114793000,162.284210205078
193.869995117188,194.949996948242,193.789993286133,194.779998779297,103640300,164.633941650391
194,194.320007324219,192.179992675781,192.320007324219,111455300,162.554672241211
190.630004882812,193.529998779297,189.320007324219,193.199996948242,150812200,163.298461914062
193.729995727539,195.550003051758,192.830001831055,195.539993286133,110728300,165.276275634766
196.570007324219,196.679992675781,194.899993896484,195.089996337891,129833700,164.895935058594
195.110000610352,196.229995727539,193.330001831055,193.559997558594,125918100,163.602737426758
195.009994506836,198.210006713867,194.449996948242,198.110000610352,141799700,167.448547363281
197.740005493164,199.059997558594,197.25,199,102415000,168.200790405273
198.789993286133,199.800003051758,198.110000610352,199.779998779297,95172200,168.860076904297
200.009994506836,201.350006103516,199.029998779297,200.429992675781,129293600,169.409454345703
199.339996337891,201.070007324219,199.25,200.589996337891,100219000,169.544677734375
199.320007324219,199.919998168945,198.210006713867,198.399993896484,123974900,167.693634033203
199.360000610352,199.789993286133,198.429992675781,199.380004882812,94801200,168.521987915039
199.960006713867,201.070007324219,197.380004882812,199.539993286133,156838700,168.657180786133
201.259994506836,202.809997558594,199.520004272461,202.759994506836,137964500,171.37890625
