Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,Prob_Recovery,Prob_StableBull,Prob_Correction,Prob_Panic,Prob_BullRecovery
2021-06-02,0.001571177,-0.7125869,0.008632019,-0.415021953,-0.004240366,0.001242775,17.47999954,0.887877649,4,Bull Recovery,2.498073316501921e-14,1.724726645126675e-06,1.2592883850999252e-06,1.1033746145707638e-08,0.9999970049511208
2021-06-03,-0.003718373,-0.827516809,0.008556512,-0.451701717,-0.007936097,0.001137944,18.04000092,0.909771192,4,Bull Recovery,1.3342786436906463e-14,1.2909675562168638e-06,1.5437049402071936e-06,1.0642675823622191e-08,0.9999971546844342
2021-06-04,0.009104418,-0.662304198,0.008766607,-0.51606218,0.0,0.001007828,16.42000008,0.918243033,4,Bull Recovery,9.157686124728274e-14,6.764422645213277e-06,2.21041057604243e-06,1.3140062430356765e-08,0.9999910120263044
2021-06-07,-0.000970756,-0.771527154,0.008616393,-0.421796081,-0.000970285,0.000860857,16.42000008,0.903223276,4,Bull Recovery,4.264912577675765e-13,1.701405610562115e-05,2.7244322790680303e-06,1.1447348772545058e-08,0.9999802500646552
2021-06-08,0.000213357,-0.809562346,0.0084703,-0.349974653,-0.000757112,0.000677944,17.06999969,0.891429328,4,Bull Recovery,2.474743056975361e-13,2.4027333506503675e-06,1.508199683947537e-06,1.357780884466654e-08,0.9999960754889501
2021-06-09,-0.001493213,-0.920711877,0.00816825,-0.449134853,-0.002248081,0.000494175,17.88999939,0.879426056,4,Bull Recovery,3.8648287246496014e-14,2.161553108039561e-07,1.7653659803784602e-06,2.7921827154088612e-08,0.9999979905571489
2021-06-10,0.004637699,-0.902054949,0.007922388,-0.651270739,0.0,0.000320024,16.10000038,0.853275575,4,Bull Recovery,1.2318281462815814e-12,2.3441482806533175e-05,8.035487067121881e-06,1.4014704344145998e-07,0.9999683828824079
2021-06-11,0.001651233,-0.992902063,0.006008264,0.642966959,0.0,0.000671639,15.64999962,0.797210611,4,Bull Recovery,3.308813037407453e-11,6.943631051876972e-05,9.689634820208667e-08,9.281708827751222e-08,0.9999303739434465
2021-06-14,0.002236364,-1.103294599,0.005576875,0.783792488,0.0,0.000943693,16.38999939,0.743864219,4,Bull Recovery,1.192902568834876e-13,2.465376175806817e-06,1.2630537724236232e-08,9.205597566766112e-08,0.9999974299368034
2021-06-15,-0.001835751,-1.199974572,0.004677673,0.605824359,-0.001834067,0.001243992,17.02000046,0.712612371,4,Bull Recovery,3.464525994577822e-15,7.313479761750941e-10,1.7749007425257347e-09,7.443890373938005e-08,0.9999999230549322
2021-06-16,-0.00559911,-1.154549768,0.004834701,0.535454247,-0.007407291,0.001436212,18.14999962,0.681564873,4,Bull Recovery,4.05161240698755e-16,3.21659666166535e-11,1.407461984175514e-09,6.077106562396354e-08,0.9999999377887453
2021-06-17,-0.000331516,-0.934498133,0.004341413,0.977727091,-0.007736297,0.001624055,17.75,0.6377078,4,Bull Recovery,4.892268482748408e-16,9.836652250876018e-12,6.864348739502756e-11,3.6878981546558365e-08,0.999999963041774
2021-06-18,-0.013582281,-0.957802034,0.005356911,-0.226010066,-0.021122388,0.001684315,20.70000076,0.640943771,4,Bull Recovery,1.6073715911908965e-17,2.752036870148638e-16,1.9730201411736888e-07,7.499809436041018e-07,0.999999052716242
2021-06-21,0.014214247,-0.25520371,0.00572932,0.130552317,-0.007109021,0.001699196,17.88999939,0.618133373,4,Bull Recovery,2.0881900699266018e-13,4.4584852101174516e-13,1.0973307838666828e-07,1.4141664221062115e-07,0.9999997488503456
2021-06-22,0.00533223,-0.403947498,0.005799695,-0.00385001,-0.001800558,0.001706186,16.65999985,0.629696301,4,Bull Recovery,2.2237794378164267e-13,5.887293769083842e-10,3.286600900766169e-07,5.575588823645464e-08,0.999999614994596
2021-06-23,-0.0012063,-0.549152979,0.005430396,0.060633839,-0.003003959,0.001718681,16.31999969,0.596617459,4,Bull Recovery,9.646353953922102e-13,8.402876157765481e-10,2.0278575108579898e-07,2.7382926483932185e-08,0.9999997689901914
2021-06-24,0.005898411,-0.607432354,0.005512143,-0.104589336,0.0,0.001710888,15.97000027,0.583455465,4,Bull Recovery,1.6615194971189325e-13,7.832065003951257e-10,8.209514089188821e-08,9.745090754061368e-09,0.9999999073770639
2021-06-25,0.003545717,-0.738270066,0.00553756,-0.13943351,0.0,0.001685766,15.61999989,0.568003722,4,Bull Recovery,7.045241235090002e-14,4.713673535885555e-09,5.835124858967916e-08,4.119394085962998e-09,0.9999999328156286
2021-06-28,0.002013914,-0.85478051,0.005540641,-0.178201652,0.0,0.0016442,15.76000023,0.571092492,4,Bull Recovery,2.5093205299546002e-14,4.835458313536556e-09,4.596451868709353e-08,3.771117387628882e-09,0.9999999454285003
2021-06-29,0.000537983,-0.961989129,0.005539326,-0.145473059,0.0,0.001592372,16.02000046,0.574950761,4,Bull Recovery,1.070535245214307e-14,3.577495551769251e-09,3.03503225072842e-08,3.6431249673430447e-09,0.9999999624287745
2021-06-30,0.000841331,-1.065736306,0.005522557,-0.19038498,0.0,0.001532648,15.82999992,0.568231412,4,Bull Recovery,8.201606829618269e-15,2.3865347066715555e-08,2.8804547109279307e-08,3.235729255919358e-09,0.9999999440951812
2021-07-01,0.005521217,-1.109371412,0.005606111,-0.260049713,0.0,0.00145315,15.47999954,0.562415435,4,Bull Recovery,1.9323640800921564e-14,5.273898752798686e-07,4.338148983714735e-08,5.347864215013536e-09,0.9999994238807471
2021-07-02,0.007614797,-1.188019349,0.005645609,-0.441569095,0.0,0.001359189,15.06999969,0.569770364,4,Bull Recovery,1.2076946055152582e-13,6.7812201103576595e-06,2.7704298181313105e-07,3.281482614703062e-08,0.9999929089223257
2021-07-06,-0.001823223,-1.255487352,0.005441099,-0.33641639,-0.001821562,0.001222783,16.44000053,0.491651102,4,Bull Recovery,2.7131944381295092e-14,9.473317384549532e-07,2.647516689665896e-08,2.9874729062061045e-10,0.99999902589345
2021-07-07,0.003527847,-1.231105531,0.005435552,-0.451400867,0.0,0.00106481,16.20000076,0.519447722,4,Bull Recovery,6.436942538680277e-15,4.731798684310207e-06,1.0697312308690305e-07,2.0797513135460305e-09,0.9999951591479502
2021-07-08,-0.008181575,-1.301544078,0.005830771,-0.389992432,-0.008148197,0.000874349,19.0,0.589918192,4,Bull Recovery,8.810671613197166e-16,1.3161681787643803e-08,5.537132187875195e-07,3.71642089678162e-08,0.9999993959610952
2021-07-09,0.010618224,-0.844259223,0.006149634,-0.42889964,0.0,0.000676717,16.18000031,0.568932299,4,Bull Recovery,1.0344123162342695e-12,1.8677416988402515e-05,8.970326448513646e-07,8.794498013410127e-09,0.9999804167553848
2021-07-12,0.003575486,-0.936503881,0.006128567,-0.412151404,0.0,0.000439546,16.17000008,0.62533424,4,Bull Recovery,2.0332083986858445e-12,3.1117370556368976e-05,1.843051590321422e-06,2.2367796659966515e-08,0.9999670172074484
